,elite,reg,lcc
0,7360.0,1443643.0,1451003.0
1,7284.0,1414555.0,1421839.0
2,7206.0,1393854.0,1401060.0
3,7130.0,1373618.0,1380748.0
4,7055.0,1353462.0,1360517.0
5,6978.0,1337220.0,1344198.0
6,6903.0,1321391.0,1328294.0
7,6828.0,1306825.0,1313653.0
8,6753.0,1293818.0,1300571.0
9,6678.0,1280872.0,1287550.0
10,6603.0,1268836.0,1275439.0
11,6528.0,1258217.0,1264745.0
12,6453.0,1247216.0,1253669.0
13,6378.0,1237748.0,1244126.0
14,6303.0,1228732.0,1235035.0
15,6228.0,1219773.0,1226001.0
16,6152.0,1211434.0,1217586.0
17,6076.0,1203140.0,1209216.0
18,6001.0,1195035.0,1201036.0
19,5926.0,1188121.0,1194047.0
